#ID,scale_rad,e_srad,dens,e_sdens,r200_est,r500_est,m200_est,m500_est,snapnum 
327019877000003,0.208197434739,0.00805818115211,1.34803730471e+15,9.26785892092e+13,0.854284026113,0.546276739322,1.515435178e+14,9.9328034e+13,60.0
503000195000002,0.322536218651,0.0110823627262,7.3603943328e+14,4.03707501947e+13,0.850020384894,0.55757451089,1.4652414e+14,1.037056688e+14,61.0
311001694000002,0.578514719704,0.0207069510513,2.79483494005e+14,1.40187063802e+13,1.1177555149,0.669067505447,3.341982194e+14,1.788464522e+14,61.0
296003841076681,0.2342217462,0.0075764586414,1.74387838553e+15,9.73071209277e+13,1.11628478131,0.710239555548,3.448390936e+14,2.228519326e+14,59.0
124000068000005,0.219610977868,0.007200023284,1.57021383409e+15,9.02289040958e+13,0.882252160111,0.577733401967,1.741604362e+14,1.227908472e+14,58.0
118000046000003,0.212284370026,0.00672382862895,2.19501771732e+15,1.22839222784e+14,0.881818837438,0.601276839596,1.664448764e+14,1.324333588e+14,60.0
92000050000690,0.220048292557,0.00743068821309,1.61718974257e+15,9.5638733321e+13,0.906703697626,0.580939664898,1.858866744e+14,1.215581838e+14,59.0
6000038000002,0.281454975695,0.00740125966569,1.55202938953e+15,6.73277148609e+13,1.02944696388,0.694039650083,2.605933122e+14,1.991935816e+14,61.0
267001676011666,0.250398855183,0.00630629450674,1.67277847886e+15,7.15044685961e+13,1.10016304001,0.713851758383,3.25225877e+14,2.217054092e+14,60.0
333009597000002,0.119121581267,0.00483128224703,3.48602295285e+15,2.87104214945e+14,0.733236375906,0.472954010294,9.42552494e+13,6.31656006e+13,61.0
191000122000004,0.211542806079,0.00576934215531,2.10076659183e+15,1.01345737133e+14,0.970950707458,0.641893403862,2.28038422e+14,1.641371858e+14,59.0
138000505000002,0.552902013563,0.0269490501572,2.35108225404e+14,1.62116027686e+13,0.846247794268,0.563959627921,1.451079984e+14,1.07326133e+14,61.0
337000109000094,0.187031186697,0.00705674370541,1.89486158163e+15,1.30346810388e+14,0.89920404303,0.545628720134,1.740923856e+14,9.71409394e+13,61.0
