#ID,scale_rad,e_srad,dens,e_sdens,r200_est,r500_est,m200_est,m500_est,HVD200,HVD500,snapnum,redshift,h(z) 
327019877000003,0.23057366472,0.00841787769921,1.19638551424e+15,7.56528207983e+13,0.871940351273,0.564123316709,1.6136868e+14,1.0950982e+14,556.003658339,578.197733846,60.0,0.064493395,1.02545436669
503000195000002,0.301544769486,0.010305606284,8.69525995003e+14,4.82143066721e+13,0.859897137775,0.56568461213,1.5246596e+14,1.0850706e+14,582.105944556,609.9110478,61.0,0.041403063,1.01604906422
311001694000002,0.554431956108,0.0180502459585,3.15997117594e+14,1.45453836868e+13,1.13920405114,0.688417635185,3.531762e+14,1.952372e+14,721.47844342,760.027058901,61.0,0.041403063,1.01604906422
296003841076681,0.263347086993,0.00827703153015,1.56186047374e+15,8.22901239704e+13,1.15665565889,0.740694682436,3.85581e+14,2.526508e+14,803.742451169,835.338627164,59.0,0.08928783,1.03591653508
124000068000005,0.213538920348,0.00631579492844,1.87316662706e+15,9.77746818488e+13,0.920405607001,0.604543179493,1.9822398e+14,1.4037264e+14,657.276294613,685.83890191,58.0,0.11588337,1.04755586593
118000046000003,0.182526446494,0.00561384595879,3.13487676717e+15,1.76824626305e+14,0.892270317213,0.611998117561,1.7290644e+14,1.3931226e+14,702.946123229,740.916270073,60.0,0.064493395,1.02545436669
92000050000690,0.180759296702,0.0059053270361,2.58181069478e+15,1.55063358769e+14,0.945971784142,0.602439481905,2.1090382e+14,1.3631774e+14,626.52589621,656.980121569,59.0,0.08928783,1.03591653508
6000038000002,0.270630349115,0.00730513745658,1.74562424725e+15,7.84671237322e+13,1.04220845612,0.700482425615,2.7113306e+14,2.0604654e+14,742.01073666,779.129833617,61.0,0.041403063,1.01604906422
267001676011666,0.23740094399,0.00587412357557,1.98150396208e+15,8.43082122681e+13,1.12851410847,0.739267653458,3.497792e+14,2.4576048e+14,769.495952132,783.691609049,60.0,0.064493395,1.02545436669
333009597000002,0.123290518782,0.00470402307526,3.35373658294e+15,2.57778610745e+14,0.7433524656,0.479479116449,9.807096e+13,6.59921e+13,495.134448789,518.459427107,61.0,0.041403063,1.01604906422
191000122000004,0.200623101383,0.00481853209501,2.55012415091e+15,1.09760675717e+14,1.00450357847,0.662027329373,2.5252094e+14,1.8086746e+14,697.209420008,731.254361936,59.0,0.08928783,1.03591653508
138000505000002,0.589627183818,0.0275041387737,2.26060862312e+14,1.47163439731e+13,0.853586503875,0.575437277032,1.4818832e+14,1.1366534e+14,552.900312886,561.658023238,61.0,0.041403063,1.01604906422
337000109000094,0.178291982056,0.00595842287381,2.16745849732e+15,1.33616425159e+14,0.920722159093,0.557036654175,1.8697002e+14,1.0318452e+14,599.01575906,609.436657028,61.0,0.041403063,1.01604906422
319025649000053,0.343180960271,0.0112021072479,8.29258281935e+14,4.25889713636e+13,0.999545611983,0.629562772455,2.4787866e+14,1.551268e+14,676.256473548,706.907683879,59.0,0.08928783,1.03591653508
5000059000002,0.16340740626,0.00628027181415,2.19918822659e+15,1.59247252614e+14,0.845974090228,0.53294082285,1.4460556e+14,9.05236e+13,575.947146873,576.296608946,61.0,0.041403063,1.01604906422
337000110000003,0.199876831372,0.00600120730894,1.90335218939e+15,1.02504160061e+14,0.905583795492,0.607144963893,1.8123382e+14,1.365508e+14,630.005055959,645.650197728,60.0,0.064493395,1.02545436669
206000102000002,0.102455581689,0.00361129054928,8.69376046051e+15,6.43889903683e+14,0.835875920938,0.574853154251,1.3933118e+14,1.1356472e+14,662.178306711,689.190256829,61.0,0.041403063,1.01604906422
